Region,Year,Units,Water_Categ,Ammoniacal nitrogen,E.coli,Nitrate-nitrite nitrogen
Southland,2005,g/m3,River Quality,0.72,NA,21.01
Southland,2006,cfu/100ml,Groundwater Quality,NA,178,NA
Southland,2006,g/m3,Groundwater Quality,NA,NA,405.19
Southland,2006,g/m3,River Quality,0.7,NA,20.71
Southland,2007,cfu/100ml,Groundwater Quality,NA,164,NA
Southland,2007,cfu/100ml,River Quality,NA,1282,NA
Southland,2007,g/m3,Groundwater Quality,NA,NA,494.55
Southland,2007,g/m3,River Quality,0.71,NA,21.19
Southland,2008,cfu/100ml,Groundwater Quality,NA,1008,NA
Southland,2008,cfu/100ml,River Quality,NA,6927.5,NA
Southland,2008,g/m3,Groundwater Quality,NA,NA,618.61
Southland,2008,g/m3,River Quality,0.77,NA,24.17
Southland,2009,cfu/100ml,Groundwater Quality,NA,142,NA
Southland,2009,cfu/100ml,River Quality,NA,11773.98,NA
Southland,2009,g/m3,Groundwater Quality,NA,NA,710.4
Southland,2009,g/m3,River Quality,0.84,NA,26
Southland,2010,cfu/100ml,Groundwater Quality,NA,2134,NA
Southland,2010,cfu/100ml,River Quality,NA,17860.1,NA
Southland,2010,g/m3,Groundwater Quality,NA,NA,773.74
Southland,2010,g/m3,River Quality,1.27,NA,37.63
Southland,2011,cfu/100ml,Groundwater Quality,NA,2648,NA
Southland,2011,cfu/100ml,River Quality,NA,18567.7,NA
Southland,2011,g/m3,Groundwater Quality,NA,NA,701.18
Southland,2011,g/m3,River Quality,1.27,NA,39.12
Southland,2012,cfu/100ml,Groundwater Quality,NA,1163,NA
Southland,2012,cfu/100ml,River Quality,NA,19988.4,NA
Southland,2012,g/m3,Groundwater Quality,NA,NA,611.93
Southland,2012,g/m3,River Quality,1.3,NA,47.18
Southland,2013,cfu/100ml,Groundwater Quality,NA,1333,NA
Southland,2013,cfu/100ml,River Quality,NA,19955.4,NA
Southland,2013,g/m3,Groundwater Quality,NA,NA,590.09
Southland,2013,g/m3,River Quality,1.18,NA,48.34
Southland,2014,cfu/100ml,Groundwater Quality,NA,3701,NA
Southland,2014,cfu/100ml,River Quality,NA,22974.95,NA
Southland,2014,g/m3,Groundwater Quality,NA,NA,557.79
Southland,2014,g/m3,River Quality,1.19,NA,55.95
Southland,2015,cfu/100ml,Groundwater Quality,NA,742,NA
Southland,2015,cfu/100ml,River Quality,NA,20696.25,NA
Southland,2015,g/m3,Groundwater Quality,NA,NA,509.75
Southland,2015,g/m3,River Quality,1.05,NA,42.18
Southland,2016,cfu/100ml,Groundwater Quality,NA,2649,NA
Southland,2016,cfu/100ml,River Quality,NA,19868.05,NA
Southland,2016,g/m3,Groundwater Quality,NA,NA,520.26
Southland,2016,g/m3,River Quality,0.97,NA,43.27
Southland,2017,cfu/100ml,Groundwater Quality,NA,187,NA
Southland,2017,cfu/100ml,River Quality,NA,19943.3,NA
Southland,2017,g/m3,Groundwater Quality,NA,NA,569.38
Southland,2017,g/m3,River Quality,0.86,NA,41.87
Southland,2018,cfu/100ml,Groundwater Quality,NA,401,NA
Southland,2018,cfu/100ml,River Quality,NA,18950.1,NA
Southland,2018,g/m3,Groundwater Quality,NA,NA,644.58
Southland,2018,g/m3,River Quality,0.75,NA,42.75
Southland,2019,cfu/100ml,Groundwater Quality,NA,432,NA
Southland,2019,cfu/100ml,River Quality,NA,18296.8,NA
Southland,2019,g/m3,Groundwater Quality,NA,NA,841.91
Southland,2019,g/m3,River Quality,0.77,NA,43.34
Taranaki,2002,g/m3,River Quality,NA,NA,2.27
Taranaki,2003,g/m3,River Quality,NA,NA,2.34
Taranaki,2004,cfu/100ml,Groundwater Quality,NA,12,NA
Taranaki,2004,g/m3,Groundwater Quality,NA,NA,79.85
Taranaki,2004,g/m3,River Quality,0.06,NA,2.4
Taranaki,2005,g/m3,Groundwater Quality,NA,NA,40.43
Taranaki,2005,g/m3,River Quality,0.06,NA,2.36
Taranaki,2006,cfu/100ml,Groundwater Quality,NA,200,NA
Taranaki,2006,g/m3,Groundwater Quality,NA,NA,150.92
Taranaki,2006,g/m3,River Quality,0.06,NA,2.39
Taranaki,2007,cfu/100ml,Groundwater Quality,NA,1083,NA
Taranaki,2007,cfu/100ml,River Quality,NA,675,NA
Taranaki,2007,g/m3,Groundwater Quality,NA,NA,165.55
Taranaki,2007,g/m3,River Quality,0.06,NA,2.36
Taranaki,2008,cfu/100ml,River Quality,NA,690,NA
Taranaki,2008,g/m3,Groundwater Quality,NA,NA,16.05
Taranaki,2008,g/m3,River Quality,0.06,NA,2.39
Taranaki,2009,cfu/100ml,River Quality,NA,1986,NA
Taranaki,2009,g/m3,Groundwater Quality,NA,NA,55.75
Taranaki,2009,g/m3,River Quality,0.21,NA,2.35
Taranaki,2010,cfu/100ml,River Quality,NA,1973,NA
Taranaki,2010,g/m3,Groundwater Quality,NA,NA,13.11
Taranaki,2010,g/m3,River Quality,0.21,NA,2.32
Taranaki,2011,cfu/100ml,Groundwater Quality,NA,27,NA
Taranaki,2011,cfu/100ml,River Quality,NA,1994,NA
Taranaki,2011,g/m3,Groundwater Quality,NA,NA,68.63
Taranaki,2011,g/m3,River Quality,0.21,NA,2.28
Taranaki,2012,cfu/100ml,Groundwater Quality,NA,245,NA
Taranaki,2012,cfu/100ml,River Quality,NA,2301,NA
Taranaki,2012,g/m3,Groundwater Quality,NA,NA,206.1
Taranaki,2012,g/m3,River Quality,0.22,NA,2.28
Taranaki,2013,cfu/100ml,Groundwater Quality,NA,53,NA
Taranaki,2013,cfu/100ml,River Quality,NA,2776.95,NA
Taranaki,2013,g/m3,Groundwater Quality,NA,NA,103.04
Taranaki,2013,g/m3,River Quality,0.26,NA,8.81
Taranaki,2014,cfu/100ml,Groundwater Quality,NA,350,NA
Taranaki,2014,cfu/100ml,River Quality,NA,3382.3,NA
Taranaki,2014,g/m3,Groundwater Quality,NA,NA,335.95
Taranaki,2014,g/m3,River Quality,0.27,NA,8.58
Taranaki,2015,cfu/100ml,Groundwater Quality,NA,735,NA
Taranaki,2015,cfu/100ml,River Quality,NA,3367.65,NA
Taranaki,2015,g/m3,Groundwater Quality,NA,NA,467.1
Taranaki,2015,g/m3,River Quality,0.28,NA,8.61
Taranaki,2016,cfu/100ml,Groundwater Quality,NA,714,NA
Taranaki,2016,cfu/100ml,River Quality,NA,3179,NA
Taranaki,2016,g/m3,Groundwater Quality,NA,NA,347.55
Taranaki,2016,g/m3,River Quality,0.24,NA,6.86
Taranaki,2017,cfu/100ml,Groundwater Quality,NA,9188.6,NA
Taranaki,2017,cfu/100ml,River Quality,NA,3460.85,NA
Taranaki,2017,g/m3,Groundwater Quality,NA,NA,398.56
Taranaki,2017,g/m3,River Quality,0.24,NA,6.95
Taranaki,2018,cfu/100ml,Groundwater Quality,NA,320,NA
Taranaki,2018,cfu/100ml,River Quality,NA,3336.45,NA
Taranaki,2018,g/m3,Groundwater Quality,NA,NA,428.69
Taranaki,2018,g/m3,River Quality,0.23,NA,6.89
Taranaki,2019,cfu/100ml,Groundwater Quality,NA,4319,NA
Taranaki,2019,cfu/100ml,River Quality,NA,3361.15,NA
Taranaki,2019,g/m3,Groundwater Quality,NA,NA,456.13
Taranaki,2019,g/m3,River Quality,0.22,NA,6.94
Tasman,2002,g/m3,River Quality,NA,NA,0.16
Tasman,2003,g/m3,River Quality,NA,NA,0.16
Tasman,2004,g/m3,Groundwater Quality,NA,NA,223.59
Tasman,2004,g/m3,River Quality,0.01,NA,0.17
Tasman,2005,g/m3,Groundwater Quality,NA,NA,178.95
Tasman,2005,g/m3,River Quality,0.01,NA,0.16
Tasman,2006,g/m3,Groundwater Quality,NA,NA,213.08
Tasman,2006,g/m3,River Quality,0.01,NA,0.16
Tasman,2007,g/m3,Groundwater Quality,NA,NA,203.53
Tasman,2007,g/m3,River Quality,0.01,NA,0.17
Tasman,2008,cfu/100ml,River Quality,NA,137.5,NA
Tasman,2008,g/m3,Groundwater Quality,NA,NA,198.95
Tasman,2008,g/m3,River Quality,0.02,NA,0.28
Tasman,2009,cfu/100ml,River Quality,NA,1882.5,NA
Tasman,2009,g/m3,Groundwater Quality,NA,NA,206.37
Tasman,2009,g/m3,River Quality,0.1,NA,2.22
Tasman,2010,cfu/100ml,River Quality,NA,2002.1,NA
